Word,Translation,Status,Source,logentry,revision_seq
pdepr,myself,0,"Guess. Based on `kevin` (:1 yra pdepr.), which may say something like ""is<VB> this<PN> me<NN>"".",../Ginger 2025-05-04 T2048 - Start of iterative guessing.md,1
pji,may,1,Direct translation: (;(is) (or) (isn't).),../Ginger 2025-05-11 T2103 - Iterative guessing.md,1
pu,?,1,[@Bazibon](https://discord.com/channels/1201585304964976820/1293941074464735262/1368635336896549055),../Ginger 2025-05-05 T0851 - Many changes in the night.md,2
pu,page/book,3,Based on `xhjr pu`.,../Ginger 2025-04-24 T0830 - Words from opening pages.md,1
rik,look/move,3,Based on controls.,../Ginger 2025-04-24 T0830 - Words from opening pages.md,1
siuaa,mixed,2,Direct translation: (;hh. (add/mix) (that) (that) (is). (not) (unmixed).),../Ginger 2025-05-11 T2103 - Iterative guessing.md,1
sjlup,place/direction/area,1,[@Bazibon](https://discord.com/channels/1201585304964976820/1293941074464735262/1368919374387351602),../Ginger 2025-05-05 T2055 - Tonight's iterative guessing.md,1
spu,where,1,[@Bazibon](https://discord.com/channels/1201585304964976820/1293941074464735262/1368920044431474798),../Ginger 2025-05-05 T2055 - Tonight's iterative guessing.md,2
spu,where,1,[@Bazibon](https://discord.com/channels/1201585304964976820/1293941074464735262/1368920044431474798),../Ginger 2025-05-05 T2055 - Tonight's iterative guessing.md,1
subt,now,1,From translating other 'subt' words and finding them all to be related to time.,../Ginger 2025-04-26 T0903 - `subt` series as time-related.md,1
subtat,FUTURE,2,Based on controls.,../Ginger 2025-04-26 T0903 - `subt` series as time-related.md,2
subtat,next,3,Based on controls.,../Ginger 2025-04-24 T0830 - Words from opening pages.md,1
subtate,after,1,[@Desi](https://discord.com/channels/1201585304964976820/1293941074464735262/1365682971587383357),../Ginger 2025-04-26 T0903 - `subt` series as time-related.md,1
subtatef,afterwards,1,[@Desi](https://discord.com/channels/1201585304964976820/1293941074464735262/1365682971587383357),../Ginger 2025-04-26 T0903 - `subt` series as time-related.md,1
subtet,PAST,2,Based on controls.,../Ginger 2025-04-26 T0903 - `subt` series as time-related.md,2
subtet,previous,3,Based on controls.,../Ginger 2025-04-24 T0830 - Words from opening pages.md,1
subteta,before,1,[@Desi](https://discord.com/channels/1201585304964976820/1293941074464735262/1365682971587383357),../Ginger 2025-04-26 T0903 - `subt` series as time-related.md,1
subtetaf,beforehand,1,[@Desi](https://discord.com/channels/1201585304964976820/1293941074464735262/1365682971587383357),../Ginger 2025-04-26 T0903 - `subt` series as time-related.md,1
vh,at,1,Inferred from `subt`: (; hh. (not) vh (before) (and) (not) vh (after).),../Ginger 2025-05-11 T2103 - Iterative guessing.md,1
vk,to/do,1,Inferred from `xhjr` (; finish/end): (; k. vk heba.),../Ginger 2025-05-11 T2103 - Iterative guessing.md,1
vs,with,1,Direct translation. (;(mixture) (word).),../Ginger 2025-05-05 T2055 - Tonight's iterative guessing.md,1
xej,end,1,Defined as synonymous with `heba`.,../Ginger 2025-05-18 T1651 - Back after long absence.md,1
xhjr,stop,1,"Refinement of guess. `xhjr pu.` at end of book, if `pu` is a question particle, might be ""stop?""",../Ginger 2025-05-11 T2103 - Iterative guessing.md,2
xhjr,finish/end,3,Based on controls and `xhjr pu`.,../Ginger 2025-04-24 T0830 - Words from opening pages.md,1
xihuhesh,mixture,1,Direct translation.,../Ginger 2025-05-05 T2055 - Tonight's iterative guessing.md,1
yamte,THREE,3,Direct translation.,../Ginger 2025-04-25 T0822 - Number words.md,1
yax,EIGHT,3,Direct translation.,../Ginger 2025-04-25 T0822 - Number words.md,1
ycx,SIX,3,Direct translation.,../Ginger 2025-04-25 T0822 - Number words.md,1
yer,FOUR,3,Direct translation.,../Ginger 2025-04-25 T0822 - Number words.md,1
yex,NINE,3,Direct translation.,../Ginger 2025-04-25 T0822 - Number words.md,1
yh,ZERO,3,[@KinoTheDragon](https://discord.com/channels/1201585304964976820/1293941074464735262/1353490314954014800),../Ginger 2025-04-25 T0822 - Number words.md,1
ypu,which,1,Direct translation.,../Ginger 2025-05-05 T2055 - Tonight's iterative guessing.md,1
yra,that,1,[@Desi](https://discord.com/channels/1201585304964976820/1293941074464735262/1368715615002693724),../Ginger 2025-05-05 T0851 - Many changes in the night.md,2
yra,this,0,"Guess. Based on `kevin` (:1 yra pdepr.), which may say something like ""is<VB> this<PN> me<NN>"".",../Ginger 2025-05-04 T2048 - Start of iterative guessing.md,1
yre,ONE,1,Walking-back a previous change where I forgot that `yre` is definitely the number 1.,../Ginger 2025-05-18 T1651 - Back after long absence.md,3
yre,this,1,[@Desi](https://discord.com/channels/1201585304964976820/1293941074464735262/1368715615002693724),../Ginger 2025-05-05 T0851 - Many changes in the night.md,2
yre,ONE,3,[@KinoTheDragon](https://discord.com/channels/1201585304964976820/1293941074464735262/1353490314954014800),../Ginger 2025-04-25 T0822 - Number words.md,1
ysi,TWO,3,[@KinoTheDragon](https://discord.com/channels/1201585304964976820/1293941074464735262/1353490314954014800),../Ginger 2025-04-25 T0822 - Number words.md,1
ysx,FIVE,3,Direct translation.,../Ginger 2025-04-25 T0822 - Number words.md,1
yutehe,NUMBER,3,From `yutehe` (:zuf deqhm. y kuuee.).,../Ginger 2025-04-25 T0822 - Number words.md,1
yux,SEVEN,3,Direct translation.,../Ginger 2025-04-25 T0822 - Number words.md,1
zpu,how many,1,Direct translation.,../Ginger 2025-05-05 T2055 - Tonight's iterative guessing.md,1
zucjch,DEATH,2,Used to describe `zuli`'s death year.,../Ginger 2025-04-26 T0903 - `subt` series as time-related.md,1
zuf,COUNT,3,From `yutehe` (:zuf deqhm. y kuuee.).,../Ginger 2025-04-25 T0822 - Number words.md,1
zuli,RUMI,4,[Kevin Du](https://discord.com/channels/1201585304964976820/1293941074464735262/1353178018931146833),../Ginger 2025-04-24 T0830 - Words from opening pages.md,1
